a,b,c
-76,-42,48
64,-22,-56
-49,26,-84
-39,-8,62
91,-43,-47
-83,-66,-51
60,55,71
-24,43,-50
-82,-42,51
-56,39,87
-16,53,11
-93,46,8
26,13,49
24,20,84
-89,-6,48
76,79,-82
36,-59,-43
71,36,-7
11,-11,-72
31,99,-87
47,-27,69
22,-3,-86
-54,-88,61
63,91,-64
96,59,-28
96,-5,-79
4,-87,-67
-63,5,-21
-69,90,58
99,-62,-81
95,63,-21
-10,-28,83
-18,100,-55
-56,-98,5
64,-22,28
27,76,-77
-13,-83,86
12,25,-85
-30,-66,29
-55,18,49
2,4,72
-8,45,-93
-76,98,40
-38,-30,72
-64,-3,-86
59,-90,-96
30,59,-28
-95,78,3
-73,41,-25
97,60,60
84,-89,99
-2,72,-51
-73,59,-70
-4,11,-80
-13,77,57
-59,-57,41
87,-35,94
16,-50,-86
49,68,-71
85,34,-96
-67,-14,-39
-59,77,28
-14,-6,67
56,-29,81
-18,-70,58
48,-65,-59
-24,-7,-92
26,97,-13
-84,15,13
82,-79,-26
18,63,-76
-40,-97,-28
83,-54,-68
-50,-97,85
-22,-15,-28
-19,-21,-26
79,-30,57
96,78,48
-74,73,-17
78,41,-74
-58,97,-97
-84,-43,-37
98,-51,-93
-25,-25,-76
46,16,69
20,-64,-14
-92,-69,72
27,-23,-71
59,-10,42
-74,1,22
42,-24,-33
-40,88,28
-61,91,20
-37,68,7
-48,32,-77
6,78,-4
-32,-84,-50
-93,78,70
-74,49,61
-15,72,-56
85,91,-80
72,-97,65
-73,9,76
-100,-56,85
75,97,-63
-89,63,-99
64,-84,31
-33,7,-64
-58,2,-34
-46,27,-42
-47,83,-49
-40,-16,-98
46,-76,-36
-97,22,87
65,-50,84
92,-1,80
80,43,27
27,84,-31
-29,-12,56
7,39,10
-65,-39,-53
-37,-2,-58
98,12,-57
-43,-100,56
49,77,-61
-18,78,-57
59,90,-88
79,36,-19
-78,-89,-32
-20,11,-29
53,-89,59
-44,-39,-31
-6,-29,-62
-36,-73,43
-98,-7,-52
19,8,-37
58,-96,-26
-27,-48,46
-93,-4,-83
-29,-91,32
-83,-37,21
46,-31,52
2,54,79
-25,35,3
-99,-59,-64
46,-92,67
-37,-43,43
-33,57,15
17,-30,92
27,-55,2
-29,-95,95
35,-37,3
-24,47,-22
-72,-43,65
-4,-63,100
-13,-67,14
-80,39,43
91,96,9
-58,59,52
44,37,15
97,-19,-77
-85,-38,39
98,79,-1
32,-50,41
-79,-68,67
20,-2,-100
35,-96,28
27,44,32
-81,-53,-46
-74,-13,9
11,-87,46
92,-84,-67
-1,-34,46
41,-76,73
-48,-100,81
-3,-45,-87
-66,-68,80
-95,87,-97
-67,-11,45
-41,41,-30
82,-38,-73
95,-65,50
-13,39,97
9,96,-74
0,60,21
87,-41,-72
6,-79,25
-58,-52,-18
29,-5,80
-59,51,-59
-67,-23,-30
50,20,-47
-34,86,96
-4,-89,-89
-63,-96,-67
43,83,-44
67,-40,-4
94,-22,33
-20,-31,9
16,54,-53
-72,-37,-53
-87,-62,29
49,-54,-63
-95,55,-22
54,-91,33
-45,77,-33
0,-95,55
-37,-65,39
69,33,57
-42,48,-54
21,-31,10
31,-42,78
7,-100,-23
41,66,-51
-82,-96,-79
100,-20,-7
33,-19,-10
-31,-78,-14
62,-94,-44
98,97,69
-87,-57,-12
-6,-20,77
-50,-88,62
-57,7,51
22,2,-30
-5,-50,-39
-56,16,-44
-92,24,-33
-11,-15,-74
99,-92,-8
-34,-38,28
17,28,80
-68,-50,-72
-27,-45,-7
-57,31,43
-93,-44,-99
46,-40,68
52,-6,-97
-42,80,62
-17,26,-96
72,1,59
68,-95,91
66,-73,80
21,-66,-87
-66,-69,52
39,-98,-16
19,2,-75
98,40,-1
-18,-72,77
-74,-92,-100
-15,-13,-47
-48,43,-2
-73,71,-58
37,56,-92
-74,21,-12
65,79,-72
85,-24,39
-90,76,-11
41,-20,-48
35,88,-100
-74,-7,2
-89,8,-97
-50,46,39
-35,-26,-39
-91,86,33
-97,-31,-85
-29,-25,97
18,13,-38
-81,54,57
-44,-64,-11
-90,-29,-14
67,-71,-59
19,75,94
54,-7,92
-73,-94,-21
-69,63,78
97,-68,-28
22,-38,10
10,-97,-95
-97,-32,-66
75,51,71
26,58,90
-93,-6,15
43,36,22
76,11,34
-64,-4,-66
97,90,69
-99,-90,-72
23,-52,80
0,-37,-43
11,-33,-80
-33,-8,96
-51,19,-86
-1,37,77
-45,-14,37
-39,20,14
24,44,-26
44,19,-89
-1,62,59
-14,-80,-17
-16,-14,45
57,-1,-33
62,44,-6
56,-27,16
-34,100,-47
4,-67,-37
93,18,53
-46,48,-63
